Total Energy (J),Spent Time (s)
29.887878417983302,1.404
30.5877685546875,1.401
29.91241455078125,1.405
30.346679687485448,1.405
29.745605468764552,1.399
30.01495361328125,1.402
30.634460449189646,1.403
30.489501953125,1.403
30.46075439453125,1.403
31.369934082045802,1.402
31.03857421875,1.402
30.573425292983302,1.399
31.869567871108302,1.402
30.940917968764552,1.401
31.671569824204198,1.399
31.994873046860448,1.402
30.995178222685354,1.402
30.948181152329198,1.403
31.431030273452052,1.4
31.426696777329198,1.403
31.636535644545802,1.401
32.25360107421875,1.4
31.81689453125,1.402
31.08209228515625,1.403
28.5933837890625,1.199
32.05596923828125,1.403
30.464599609360448,1.403
30.6217041015625,1.402
33.07556152342295,1.404
31.627685546889552,1.399
